Comment,cleaned_comments
Where is China on this list? Most ppl there are han chinese & mandarian speaking? Or North Korea? South Korea? Japan? Some east European countries?,where is china on this list most ppl there are han chinese mandarian speaking or north korea south korea japan some east european countries
Immigration is the single largest threat to these countries,immigration is the single largest threat to these countries
"True bevause it helps fascists voice their opinions. When the refugee migration from the middle east stops, the fascists right wing popularity wave will go back to pre Syria crisis levels. And you will all be put back in the racist box. Looking forward to it.",true bevause it helps fascists voice their opinions when the refugee migration from the middle east stops the fascists right wing popularity wave will go back to pre syria crisis levels and you will all be put back in the racist box looking forward to it
Norway and Denmark alredy have a lot of immigrants. And they are happy with it.,norway and denmark alredy have a lot of immigrants and they are happy with it
🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,
Petter  And I will gladly look forward to the Islamic invaders going back to the Middle-East.,petter and i will gladly look forward to the islamic invaders going back to the middle east
"hehehe, no im from norway and the immigrants from non european countries are one of our biggest problems. they drag down our happiness chart and without them we would score higher",hehehe no im from norway and the immigrants from non european countries are one of our biggest problems they drag down our happiness chart and without them we would score higher
"Unregulated immigration I would say.  Some politicians in the US have proposed having a point system which prioritizes immigrants with highly coveted skills which is very beneficial to the country taking them in.  Of course this relates more to educated people who want to work and settle and not so much refugees or economic migrants.  Also, some degree of cultural assimilation is mandatory.",unregulated immigration i would say some politicians in the us have proposed having a point system which prioritizes immigrants with highly coveted skills which is very beneficial to the country taking them in of course this relates more to educated people who want to work and settle and not so much refugees or economic migrants also some degree of cultural assimilation is mandatory
"Farasat Khan In the 2015 Danish election the Danish People's Party, a party that has ""anti-Islam"" and ""anti-immigration"" as official party policies"", went from making up 12.0% of the vote to 22.1% of the vote and are currently polling at 31.7% for the election next year. In Norway last year the Conservative Party, the largest party in the country, vowed to reduce the number of migrant in the country and bring about stricter controls over who can enter the country.",farasat khan in the 2015 danish election the danish people s party a party that has anti islam and anti immigration as official party policies went from making up 12 0 of the vote to 22 1 of the vote and are currently polling at 31 7 for the election next year in norway last year the conservative party the largest party in the country vowed to reduce the number of migrant in the country and bring about stricter controls over who can enter the country
@@khan0491 but the numbers  from Islamic countries are way smaller therefore they're actually happy as of now. It's worth mentioning both Denmark and Norway have anti-Islam political parties governing and influencing the policies of the government.,but the numbers from islamic countries are way smaller therefore they re actually happy as of now it s worth mentioning both denmark and norway have anti islam political parties governing and influencing the policies of the government
"I’m an immigrant/Suomalainen who’s lived in Finland for 15yrs. I do work and pay taxes. I’m an agnostic and a center-right political oriented. I’m a amateur physicist and evolutionary biologist. It’s funny how ppl talk about immigration and races. Those are unnecessary issues, what matters the most is; for us to advance and keep our species alive a bit longer. Whether you like it or not the world is changing. I suggest you should get use to it.",i m an immigrant suomalainen who s lived in finland for 15yrs i do work and pay taxes i m an agnostic and a center right political oriented i m a amateur physicist and evolutionary biologist it s funny how ppl talk about immigration and races those are unnecessary issues what matters the most is for us to advance and keep our species alive a bit longer whether you like it or not the world is changing i suggest you should get use to it
"Farasat Khan We’re only happy with people who respect our culture and wants to make our society better. The less radical immigration the better. Where I’n Norway do you live, Grønnland or a more integrated place?

And do you help angry second generation immigrants become better of you cheer on the hate towards the people who helped you?",farasat khan we re only happy with people who respect our culture and wants to make our society better the less radical immigration the better where i n norway do you live gr nnland or a more integrated place and do you help angry second generation immigrants become better of you cheer on the hate towards the people who helped you
"@@khan0491 No, we're not",no we re not
"Moriarty Vivaldi Jeg bor i Oslo. Og jeg respekterer norsk kultur. 
I live in Oslo and I respect Norwegian culture.",moriarty vivaldi jeg bor i oslo og jeg respekterer norsk kultur i live in oslo and i respect norwegian culture
"Farasat Khan Det er bra, så lenge du gjør det er du velkommen 🇳🇴",farasat khan det er bra s lenge du gj r det er du velkommen
Moriarty Vivaldi TAKK😃,moriarty vivaldi takk
"@@khan0491 As a norwegian, nope. Oslo is a shithole, because of the mass immigration!",as a norwegian nope oslo is a shithole because of the mass immigration
"DeplorableTrump Supporter Only 22% of the population in Oslo are immigrants. 

Bare 22% av Oslos befolkning er innvandrere eller har innvandrer bakgrunn.",deplorabletrump supporter only 22 of the population in oslo are immigrants bare 22 av oslos befolkning er innvandrere eller har innvandrer bakgrunn
"@@khan0491 Tror det er mer 40%, men fortsatt, hvis vi ser på kriminaliteten i Øst-Oslo, ser vi hva høy innvandring gjør med et samfunn.",tror det er mer 40 men fortsatt hvis vi ser p kriminaliteten i st oslo ser vi hva h y innvandring gj r med et samfunn
Mohammad Abboud the most peaceful and lowest crime rate countries are also the whitest,mohammad abboud the most peaceful and lowest crime rate countries are also the whitest
Immigration is the best thing for the economy,immigration is the best thing for the economy
Guns are the single largest treat,guns are the single largest treat
"Less Islam 
More happiness",less islam more happiness
As ex-muslim I agree,as ex muslim i agree
"@@jihadikorean6604 u are everywhere, u look so desperate lmao",u are everywhere u look so desperate lmao
@Abdirahman  Mohamed oh yes,mohamed oh yes
@Abdirahman  Mohamedwaraaaaa garaaac,mohamedwaraaaaa garaaac
"He isn't wrong. islam is a mental disease,mate.",he isn t wrong islam is a mental disease mate
"less hater
more happiness",less hater more happiness
"less black people
more happiness",less black people more happiness
@@amirkyrn3260 Really? I don't think,really i don t think
"Less religion 
More happiness",less religion more happiness
RayDagge. Bro stop being so ignorant,raydagge bro stop being so ignorant
One reason they're so happy is that they dumped christianity,one reason they re so happy is that they dumped christianity
Then why isn't the US on the list you're having the lowest rate of Muslim immigrants per capita than any non middle eastern country....,then why isn t the us on the list you re having the lowest rate of muslim immigrants per capita than any non middle eastern country
"One Donald Trump
One major issue keeping you from being happy",one donald trump one major issue keeping you from being happy
"More less
Religion happiness",more less religion happiness
"@@amirkyrn3260 him and his depressed message "" as ex Muslim "" he is lost",him and his depressed message as ex muslim he is lost
@@jihadikorean6604 ur mum doesn't love you that's why it an ex muslim,ur mum doesn t love you that s why it an ex muslim
"Have you even seen the video, the common factors were free or cheap and high standard education, better politicians, free Healthcare.
There are enough Muslims in Canada, Netherlands, Australia.",have you even seen the video the common factors were free or cheap and high standard education better politicians free healthcare there are enough muslims in canada netherlands australia
Christianity promotes free will compared to islam,christianity promotes free will compared to islam
How come Murrica isnt ranked One.,how come murrica isnt ranked one
Yes,yes
Riotchock ??,riotchock
This +1 ... heck make it +1000000000,this 1 heck make it 1000000000
"People are like there is less muslims in the Nordic countries = happiness. But in Denmark and Norway around 5% of the population is muslim, while in Sweden it's 8. In The United States around 1% of the population is muslim.",people are like there is less muslims in the nordic countries happiness but in denmark and norway around 5 of the population is muslim while in sweden it s 8 in the united states around 1 of the population is muslim
Muslims in the Gulf are nore happier than entire christian west,muslims in the gulf are nore happier than entire christian west
@@Beyonder1987 Sorry I meant that it doesnt mean anything about how happy people are,sorry i meant that it doesnt mean anything about how happy people are
Less idiots more happiness.,less idiots more happiness
Vick Nad where there are idiots happiness lacks.,vick nad where there are idiots happiness lacks
"Less religion of any kind.
More happiness.",less religion of any kind more happiness
Daniel Jakes Yeah we shoud not drag religion in the debates of happiness.Relegion has nothing to take with happiness.,daniel jakes yeah we shoud not drag religion in the debates of happiness relegion has nothing to take with happiness
@@gabbar51ngh u sure. Start researching before u start talking.,u sure start researching before u start talking
@@whitecat1441 fax,fax
@@Useranonn 😂. U know it's his choice if he wants to leave or not but u should regret ur decision mate.,u know it s his choice if he wants to leave or not but u should regret ur decision mate
"@@crimson9974 hey. R sure about that? Because more than 50percent of the top 10countries have a Muslim population of over 1 million each and there doing just fine. Its acc not the ppl it's the government. I'm pretty sure that there are over 1 million muslims living in America but they have no control over what the government does. I'm pretty sure the American government is responsible for many middle eastern countries happiness as they have caused war after war, crisis after crisis all because of the American government.",hey r sure about that because more than 50percent of the top 10countries have a muslim population of over 1 million each and there doing just fine its acc not the ppl it s the government i m pretty sure that there are over 1 million muslims living in america but they have no control over what the government does i m pretty sure the american government is responsible for many middle eastern countries happiness as they have caused war after war crisis after crisis all because of the american government
@@Beyonder1987 That's true,that s true
"@Vick Nad of course there is. But why is that? Do u see war and corruption in Europe? No. Do u see it in the west. No. But in the middle east there. U know why? One word can explain it all. AMERICA. it is the reason there is corruption in iraq, Afghanistan and Syria. That's why there is war. Fun fact America has been in war for 93 PERCENT OF ITS HISTORY AS A COUNTRY. think about that first.",nad of course there is but why is that do u see war and corruption in europe no do u see it in the west no but in the middle east there u know why one word can explain it all america it is the reason there is corruption in iraq afghanistan and syria that s why there is war fun fact america has been in war for 93 percent of its history as a country think about that first
"That's not fair, I have been to happy Muslim Countrys.",that s not fair i have been to happy muslim countrys
@@barryetherton4889 i ve been to 7/8 muslim  countries  and only ONE seemed quite happy  and they were the most SECULAR of all those countries .,i ve been to 7 8 muslim countries and only one seemed quite happy and they were the most secular of all those countries
These countries only really work when everyone's playing ball. Which is why they are anti-immigrant,these countries only really work when everyone s playing ball which is why they are anti immigrant
"Samwelguy They arent anti immigrant. Norway and Denmark have alot of them. Finland, Switzerland and Iceland also have some immigrants.",samwelguy they arent anti immigrant norway and denmark have alot of them finland switzerland and iceland also have some immigrants
@@khan0491 there is a surge in populist parties with anti-immigrant sentiments,there is a surge in populist parties with anti immigrant sentiments
🙄🙄🙄,
"@@khan0491 That doesnt mean the people arent. Also you forgot the biggest one, Sweden.",that doesnt mean the people arent also you forgot the biggest one sweden
"Remove your income tax, implement a consumption tax, only tax non-essential items, remove any form of minimum wage, subsidize healthcare, and childcare.
Above is what I call a capitalist-socialist hybrid system. Got a problem with it? Fight me, bro!",remove your income tax implement a consumption tax only tax non essential items remove any form of minimum wage subsidize healthcare and childcare above is what i call a capitalist socialist hybrid system got a problem with it fight me bro
MrSensitiveNipples minimum wage is quite important though. I wouldn't get rid of that,mrsensitivenipples minimum wage is quite important though i wouldn t get rid of that
@@rioxx6401 Valid opinion.,valid opinion
"If there was no minimum wage, companies would pay their workers next to nothing.",if there was no minimum wage companies would pay their workers next to nothing
"@@charlesford7887 If you are willing to work for next to nothing, then that's what your worth; as harsh as it may seem, that's just reality. And even if that were the case, the price of products and services would fall immediately and dramatically. The opposite happened here when they raised the minimum wage. The cost of everything went up. Movie tickets were $7.50 Canadian, now $10.00 for matinee tickets. I asked customer service why the price went up, and the employee simply told me that it was the minimum wage increase.",if you are willing to work for next to nothing then that s what your worth as harsh as it may seem that s just reality and even if that were the case the price of products and services would fall immediately and dramatically the opposite happened here when they raised the minimum wage the cost of everything went up movie tickets were 7 50 canadian now 10 00 for matinee tickets i asked customer service why the price went up and the employee simply told me that it was the minimum wage increase
Yes. Strengthing unions is a good alternative to a minimum wage. In germany we didn't have a minimum wage until 4 years ago because as we didn't need one because our unions are so strong. Therefor the minimum wage didn't change a lot.,yes strengthing unions is a good alternative to a minimum wage in germany we didn t have a minimum wage until 4 years ago because as we didn t need one because our unions are so strong therefor the minimum wage didn t change a lot
"These countries need stricter immigration laws though, if they want to continue down the route of combining socialism and capitalism.",these countries need stricter immigration laws though if they want to continue down the route of combining socialism and capitalism
"C Rock it's exactly for the continue of those routes that they need immigrants, and it's because of those routes that people go there, immigrants are beneficial",c rock it s exactly for the continue of those routes that they need immigrants and it s because of those routes that people go there immigrants are beneficial
"Finland doesnt have that high immigrant population... only 1% of Finland is muslim which is low compared to rest of western europe. We actually have more Swedish people than actual immigrants.
Also they might get stricter as right-wing party might win next parliamentary elections as they have high support.",finland doesnt have that high immigrant population only 1 of finland is muslim which is low compared to rest of western europe we actually have more swedish people than actual immigrants also they might get stricter as right wing party might win next parliamentary elections as they have high support
There is no proof these countries need immigrants. There is not proof any country need immigration especially on such a large scale Europe is having.,there is no proof these countries need immigrants there is not proof any country need immigration especially on such a large scale europe is having
"Only reason to need immigrants if there would be immediate collapse in population number. These countries in the list are nowhere near that. Every one of those countries have already adequate workforce, the only problem is that it's expensive. That's why shiploads of cheap labour is imported there, to reduce the price of workforce.",only reason to need immigrants if there would be immediate collapse in population number these countries in the list are nowhere near that every one of those countries have already adequate workforce the only problem is that it s expensive that s why shiploads of cheap labour is imported there to reduce the price of workforce
They wouldn't if America and it's allies didn't cause the refugee crisis in the first place.,they wouldn t if america and it s allies didn t cause the refugee crisis in the first place
they need to make sure islam doesn't spread,they need to make sure islam doesn t spread
"I agree Steve, America is making the middle east very unstable and will not acknowledge that fact and the effects it is having on the rest of the world.",i agree steve america is making the middle east very unstable and will not acknowledge that fact and the effects it is having on the rest of the world
@@user-qs7xy8jv8l immigrants from industrial countries are beneficial and immigration feom third world countries are not,qs7xy8jv8l immigrants from industrial countries are beneficial and immigration feom third world countries are not
"JBTheMighty MEDC countries need immigrantion because otherwise their population would start to decline and more people would be elderly and not able to work. So immigration balances this with economically active people moving in. 
The debate isn’t if immigration is good the debate is how much is too much.",jbthemighty medc countries need immigrantion because otherwise their population would start to decline and more people would be elderly and not able to work so immigration balances this with economically active people moving in the debate isn t if immigration is good the debate is how much is too much
"I dont think you know, how strict the immigration laws are in these countries..",i dont think you know how strict the immigration laws are in these countries
@@crmesson22k    the middle east has been a bloodsoaked shithole before America existed,the middle east has been a bloodsoaked shithole before america existed
I don't disagree but I do disagree that immigration is some kind of giant problem. Don't let cyber fascism infect you.,i don t disagree but i do disagree that immigration is some kind of giant problem don t let cyber fascism infect you
"Yes there have been a lot of wars in the middle east but to think that what America has done to Iraq, Afghanistan, Syria, and Libya has not helped cause the sudden influx of immigrants from the middle east into Europe is just pure ignorance to the facts.  America has never brought peace and stability to any country that is has tried regime change on just look at Libya for instance.",yes there have been a lot of wars in the middle east but to think that what america has done to iraq afghanistan syria and libya has not helped cause the sudden influx of immigrants from the middle east into europe is just pure ignorance to the facts america has never brought peace and stability to any country that is has tried regime change on just look at libya for instance
@@RetroBerner the nordic countries exept for sweden and Finland is an ally of the US,the nordic countries exept for sweden and finland is an ally of the us
"@@crmesson22k Germany is peacefull, and didnt america force a regime change there. Yes its true that America destroyed the middle east and turned it from an area with a different culture then america to an area with a different culture who despises americanism and to a broader extent hates western cultures.

 Just take Persia/Iran before the arab spring. A nation with a western culture wimen where allowed to walk alone without the hijab in the streets , now wimen are forced to have a escort when in the public, they are forced to where the hijab, a female testefier is worth half of a male testefier and so on. They turned from being a western country to a medieval islamic soceity thanks to the west, but its because Persian culture is in many cases incompatible with American culture.",germany is peacefull and didnt america force a regime change there yes its true that america destroyed the middle east and turned it from an area with a different culture then america to an area with a different culture who despises americanism and to a broader extent hates western cultures just take persia iran before the arab spring a nation with a western culture wimen where allowed to walk alone without the hijab in the streets now wimen are forced to have a escort when in the public they are forced to where the hijab a female testefier is worth half of a male testefier and so on they turned from being a western country to a medieval islamic soceity thanks to the west but its because persian culture is in many cases incompatible with american culture
"Thanks, I think the happiest countries in the world needed a right-wing American to teach them how to run their societies. 🙄🙄🙄",thanks i think the happiest countries in the world needed a right wing american to teach them how to run their societies
I think they're doing just fine as they are. Stay in your failing country.,i think they re doing just fine as they are stay in your failing country
"Immigrants provide massive economical growth but going overboard assures the right wing parties free votes because turns out uncooperative immigrants who just want to make ghettos, not learn the language and only see people of the same ethnicity aren't good for society.",immigrants provide massive economical growth but going overboard assures the right wing parties free votes because turns out uncooperative immigrants who just want to make ghettos not learn the language and only see people of the same ethnicity aren t good for society
"But these country’s lack significant progressive lifestyle progress, everyone’s happy but very few are millionaires because of how these nations are operated.",but these country s lack significant progressive lifestyle progress everyone s happy but very few are millionaires because of how these nations are operated
"Aand why does that matter? We dont need american style rich elite system here, its part why Finland is so succesfull because wage gaps between ""rich"" and ""poor"" are very low.",aand why does that matter we dont need american style rich elite system here its part why finland is so succesfull because wage gaps between rich and poor are very low
"Hey Sweden, why are you so unhappy these days? Maybe take this up in a episode.",hey sweden why are you so unhappy these days maybe take this up in a episode
*I M M I G R A T I O N*,i m m i g r a t i o n
@@basedpro-ua3470 you blame everything on immigration,ua3470 you blame everything on immigration
These countries are full of LGBT,these countries are full of lgbt
and?,and
@@torram28 look at his name,look at his name
Wow! Seek help please,wow seek help please
"I live in Finland and there is not really that much of LGBT people here and attitude towards these people is not that supportive, so please research your facts before claiming things",i live in finland and there is not really that much of lgbt people here and attitude towards these people is not that supportive so please research your facts before claiming things
And what is wrong with that?,and what is wrong with that
Lol it's u again 😂😂😂😂,lol it s u again
No. The whole stupid movement came from the U.S.,no the whole stupid movement came from the u s
These countries have 10% of LGBT. Like every country because it's biology.,these countries have 10 of lgbt like every country because it s biology
@@mlgsty8880 I live in Finland aswell but i would disagree. Everyone i know expect my grandparents are fine with LGBT people. Also the pride parade participation has seen a huge rise recently.,i live in finland aswell but i would disagree everyone i know expect my grandparents are fine with lgbt people also the pride parade participation has seen a huge rise recently
"Henry Ahlqvist
I should have used better term instead of ""not that supportive"" 
With that I mean that people are fine with them existing and dont go witch hunting them but they kinda dont want anything to do with them. Also capital region is whole different thing.",henry ahlqvist i should have used better term instead of not that supportive with that i mean that people are fine with them existing and dont go witch hunting them but they kinda dont want anything to do with them also capital region is whole different thing
Lol not Switzerland ;) Conservative mountain people here :),lol not switzerland conservative mountain people here
Just like in every other country. What’s your point? U think gay people only live in those countries? The rate for lgbt people is the same everywhere.,just like in every other country what s your point u think gay people only live in those countries the rate for lgbt people is the same everywhere
"@@mlgsty8880 and you are pround of living in a homophobic environment? Like it or not, at least 10% of your town is LGBT is basic biology, biology don't know borders.",and you are pround of living in a homophobic environment like it or not at least 10 of your town is lgbt is basic biology biology don t know borders
What is your business then? It is okay which stature that they will choose it is none of your business unless it is happened in your country right?,what is your business then it is okay which stature that they will choose it is none of your business unless it is happened in your country right
"Top 10 happiest countries:
Finland
Norway
Denmark
Iceland
Switzerland
Netherlands
Canada
New Zealand
Sweden
Australia

Top 10 highest antidepressant use:
Iceland
Australia
Portugal
Canada
Sweden
UK
Denmark
New Zealand
Belgium
Finland

Hmmmm I smell something fishy here...",top 10 happiest countries finland norway denmark iceland switzerland netherlands canada new zealand sweden australia top 10 highest antidepressant use iceland australia portugal canada sweden uk denmark new zealand belgium finland hmmmm i smell something fishy here
"Hey, an eye for an eye, right?",hey an eye for an eye right
Yeah Denmark cheats,yeah denmark cheats
Could it be because in developed countries there is actually medication and help from the social programs for those people who aren't feeling well? Hmmm couldn't be,could it be because in developed countries there is actually medication and help from the social programs for those people who aren t feeling well hmmm couldn t be
Because these countries actually provide access to healthcare and treatment to their citizens,because these countries actually provide access to healthcare and treatment to their citizens
"michael is that true? If it is, then there is definitely something fishy there. I thought Bhutan was the happiest country on earth.",michael is that true if it is then there is definitely something fishy there i thought bhutan was the happiest country on earth
Norway wins.,norway wins
"@@zizougifu it's not about development, South Korea is a lot more developed than Iceland but Iceland has 10x as much antidepressant use as South Korea",it s not about development south korea is a lot more developed than iceland but iceland has 10x as much antidepressant use as south korea
finland we win in suicides,finland we win in suicides
"So what? This can mean that there is not a stigma around mental illness and medications, so that that people who need them are treated in the right way and feel better (so more happy) without shame",so what this can mean that there is not a stigma around mental illness and medications so that that people who need them are treated in the right way and feel better so more happy without shame
"If you're hinting that Anti-depressants are happy pills, you're wrong. If you use them unnecessarily you don't get a high, or feel ANY happier. In fact, it actually gives you depression more often than not when taken improperly. For those with Clinical depression, medication is necessary, but not enough. The medication rebuilds your neural synapses to ALLOW you to feel happiness and emotion again, but it doesn't force you to. That's why those who take medication AND add exercise, hobbies, social activities, etc. end up happier, while those that only take medication or only exercise, usually are still empty despite partial effort.",if you re hinting that anti depressants are happy pills you re wrong if you use them unnecessarily you don t get a high or feel any happier in fact it actually gives you depression more often than not when taken improperly for those with clinical depression medication is necessary but not enough the medication rebuilds your neural synapses to allow you to feel happiness and emotion again but it doesn t force you to that s why those who take medication and add exercise hobbies social activities etc end up happier while those that only take medication or only exercise usually are still empty despite partial effort
"@@juliuscaesar7795 I agree, but you can't go around saying you're the happiest person on earth while pouring antidepressants down your throat",i agree but you can t go around saying you re the happiest person on earth while pouring antidepressants down your throat
"michael well maybe that is why south korea has the highest suicide rate in the oecd. (So basically the highest in the world) also not everything is about the infrastructural and societal development, especially in these matters it mostly comes down to what is acceptable in the eyes of society. South korea, even though a very developed country, has deep traditions in family values and hierarchy. Nordic countries are more open to mental problems and talking about them and their solutions.",michael well maybe that is why south korea has the highest suicide rate in the oecd so basically the highest in the world also not everything is about the infrastructural and societal development especially in these matters it mostly comes down to what is acceptable in the eyes of society south korea even though a very developed country has deep traditions in family values and hierarchy nordic countries are more open to mental problems and talking about them and their solutions
@@zizougifu exactly so higher development does not automatically lead to more antidepressant use. It's way better to be on antidepressants all your life than commit suicide but you can't say your the happiest country when your life depends on antidepressants,exactly so higher development does not automatically lead to more antidepressant use it s way better to be on antidepressants all your life than commit suicide but you can t say your the happiest country when your life depends on antidepressants
"michael that’s because in South Korea mental health isn’t taken seriously, it’s a taboo subject to even talk, your only options are to suck it up and deal with it or get sent to an institution to never be seen or heard from again.",michael that s because in south korea mental health isn t taken seriously it s a taboo subject to even talk your only options are to suck it up and deal with it or get sent to an institution to never be seen or heard from again
"michael I agree, but just asking, do you know the statistics on how many people actually regularly use anti-depressants in the nordic countries. Because I sure don't lol. But living in Finland I can say that the biggest reason people would be depressed is the dark and long winter which of course doesn't happen in countries like South Korea.",michael i agree but just asking do you know the statistics on how many people actually regularly use anti depressants in the nordic countries because i sure don t lol but living in finland i can say that the biggest reason people would be depressed is the dark and long winter which of course doesn t happen in countries like south korea
@@marioferreira7605 yeah there's nothing fishy about Portugal but what's fishy is countries that claim they're the happiest on earth yet have the highest use of antidepressants,yeah there s nothing fishy about portugal but what s fishy is countries that claim they re the happiest on earth yet have the highest use of antidepressants
michael To contradict the popular belief. Antidepressants does not make you happy. This probably means that the countries ranking high take good care of its citizens and has a good health care system to those who need it.,michael to contradict the popular belief antidepressants does not make you happy this probably means that the countries ranking high take good care of its citizens and has a good health care system to those who need it
michael also where did you get that information?,michael also where did you get that information
"@@kurtcobain7095 of course they don't make you happy, they're not call happy pills, they're antidepressants. But when you take antidepressants you don't feel sad, you don't feel anything. So when you get polled instead of saying you're sad you say you're neutral, which artificially inflates the happiness numbers. The Nordic countries aren't the happiest in the world, they just block every sad person's feelings, those people are still sad, but the drugs numb any sort of emotion",of course they don t make you happy they re not call happy pills they re antidepressants but when you take antidepressants you don t feel sad you don t feel anything so when you get polled instead of saying you re sad you say you re neutral which artificially inflates the happiness numbers the nordic countries aren t the happiest in the world they just block every sad person s feelings those people are still sad but the drugs numb any sort of emotion
@@kurtcobain7095 the OECD published a report a few years ago about it,the oecd published a report a few years ago about it
Lmao,lmao
We live where it's cold and dark the majority of the year. We don't get as much sun. I've heard. That might be one answer to this.,we live where it s cold and dark the majority of the year we don t get as much sun i ve heard that might be one answer to this
"Thats not how it works. Your theory would predict that Portugal should be very happy, but they are not. Correlation is not causation, the reason why they take so ""many"" antidepressants is that they have access to healthcare and are not afraid to go to the doctor because of a huge bill",thats not how it works your theory would predict that portugal should be very happy but they are not correlation is not causation the reason why they take so many antidepressants is that they have access to healthcare and are not afraid to go to the doctor because of a huge bill
As someone who uses anti depressants they don't make you happy. They just make it where you can actually function.,as someone who uses anti depressants they don t make you happy they just make it where you can actually function
"Well, the happiness of a country is unrelated to the happiness of individuals, since the former relies on economic calculations, and the latter on subjective variables. There's a book by Malene Rydhal called Happy as a Dane, it's worth reading.",well the happiness of a country is unrelated to the happiness of individuals since the former relies on economic calculations and the latter on subjective variables there s a book by malene rydhal called happy as a dane it s worth reading
"michael hey vsauce, Michael here😂😂",michael hey vsauce michael here
michael antidepressants don’t make you numb tho. And USA is the country who prescribes most antidepressants.,michael antidepressants don t make you numb tho and usa is the country who prescribes most antidepressants
"@@zizougifu 
No. because the U.S. has free healthcare to those who can not afford to pay for it. The U.S. is the most developed country on this planet. It is all about perspective. If you perceive that a sad is all of a sudden depressed, problems arise.",no because the u s has free healthcare to those who can not afford to pay for it the u s is the most developed country on this planet it is all about perspective if you perceive that a sad is all of a sudden depressed problems arise
"I love noodles did you read my other comments? Because what I can get from your comment is the same thing I and michael already agreed on. That it's not all about development, it's about the stigma around not being happy and the possible medication for depression. And also that not everyone should take anti-depressants if you simply just aren't feeling well",i love noodles did you read my other comments because what i can get from your comment is the same thing i and michael already agreed on that it s not all about development it s about the stigma around not being happy and the possible medication for depression and also that not everyone should take anti depressants if you simply just aren t feeling well
"@@zizougifu 
Correct. 
Yes, I did read your other comments. I read the whole thread.
I agree.",correct yes i did read your other comments i read the whole thread i agree
Not to mention Denmark has the highest cancer rate in the world,not to mention denmark has the highest cancer rate in the world
It is the dark in Iceland. That is why some are depressed. But not many. There is only 360 k people in iceland.,it is the dark in iceland that is why some are depressed but not many there is only 360 k people in iceland
@@gaskdi No. We just take care of our citisens and dont make them pay thousunds of dollars for healthcare,no we just take care of our citisens and dont make them pay thousunds of dollars for healthcare
I wrote my comment 3 days ago someone just tried to kill themselves by jumping off a bridge,i wrote my comment 3 days ago someone just tried to kill themselves by jumping off a bridge
@@allo4724 ouch,ouch
@Nima I bet,i bet
"Many people in Finland are depressed, cause our location in earth.
Come visit us and tell me your opinion about the weather. Do you like snow, ice, freezing wind, darkness or heavy rain? You should come to Finland for an whole year and tell us are you depressed after that. Now think about it.",many people in finland are depressed cause our location in earth come visit us and tell me your opinion about the weather do you like snow ice freezing wind darkness or heavy rain you should come to finland for an whole year and tell us are you depressed after that now think about it
@@kapteenikalsarikanni good point,good point
@@zizougifu or could it be because people are growing more distant from there friends and families......,or could it be because people are growing more distant from there friends and families
Chris Willis could it be that you don't know what you're talking about?,chris willis could it be that you don t know what you re talking about
@@zizougifu I think I know what I'm saying. I was born & lived most of my life in Denmark then I shifted to India a few years back for a job but stayed here due to the culture. India is really poor (for the most part) but the strong warm family feeling beats everything for me.,i think i know what i m saying i was born lived most of my life in denmark then i shifted to india a few years back for a job but stayed here due to the culture india is really poor for the most part but the strong warm family feeling beats everything for me
Chris Willis one person's experiences ≠ general way of life in ten countries,chris willis one person s experiences general way of life in ten countries
"Apparently life in Africa, Asia and S. America is miserable 😂",apparently life in africa asia and s america is miserable
They take tablet to make them happy for short time.,they take tablet to make them happy for short time
"@@gaskdi South Korea is not more developed than Iceland. Definitely not in terms of social security, economic equality and so forth",south korea is not more developed than iceland definitely not in terms of social security economic equality and so forth
michael Poor countries can’t even eat everyday in the Marshall pyramide you need food to feel anything else.,michael poor countries can t even eat everyday in the marshall pyramide you need food to feel anything else
"That anti-depressant use ranking only includes OECD countries







But I still think you're right",that anti depressant use ranking only includes oecd countries but i still think you re right
"The answer is easy - health care in Nordic countries - because of free health service, despression is seen to at once with anti-depession means - free of charge. In other countries no?",the answer is easy health care in nordic countries because of free health service despression is seen to at once with anti depession means free of charge in other countries no
"Spot on, including Switzerland which has one of the highest depression and suicide rates.",spot on including switzerland which has one of the highest depression and suicide rates
"So the portuguese people seems pretty sad, because they rank poorly in World Happiness Index and they also have a high anti depressant use rate :/",so the portuguese people seems pretty sad because they rank poorly in world happiness index and they also have a high anti depressant use rate
@@ilovenoodles7483 yeah and the free health care is mediocre just like  the one people pay for. Not to mention American doctors are complete garbage and give you Tylenol for everything lol.,yeah and the free health care is mediocre just like the one people pay for not to mention american doctors are complete garbage and give you tylenol for everything lol
They have a free(almost) healthcare so they can easily get help.  Isn't that a good thing,they have a free almost healthcare so they can easily get help isn t that a good thing
@@gaskdi on The suicide rates South Korea is on The 3rd place.,on the suicide rates south korea is on the 3rd place
"@@allo4724 No. Watch The video ""Suicide rates in The world/Country suicide comparison rate."" Published 6 months ago. 
Are you still living in The 90's?
62 highest suicide countries and Finland is not even mentioned.
The highest suicide countries are: 
The st Lithuania, The 2nd Russia and The 3 rd South Korea",no watch the video suicide rates in the world country suicide comparison rate published 6 months ago are you still living in the 90 s 62 highest suicide countries and finland is not even mentioned the highest suicide countries are the st lithuania the 2nd russia and the 3 rd south korea
@@ilovenoodles7483 U.S. Is not the most developed country in The world. You can google it.,u s is not the most developed country in the world you can google it
